id,name,kind,direction,status,json,comp,note
B027,Toolbox,text-punct,JSON error,outstanding,"In the work phase, after each turn in which you build at least 1 room, stable, or fence, you can build the ""Joinery"", ""pottery"", or Basketmaker's Workshop"" major improvement.","In the work phase, after each turn in which you build at least 1 room, stable or fence, you can build the ""Joinery"", ""Pottery"", or ""Basketmaker's Workshop"" major improvement.","Only punctuation/capitalization differs: JSON has Oxford comma 'stable, or', lowercase '""pottery""', and a missing opening quote before Basketmaker's; compendium has 'stable or', '""Pottery""', '""Basketmaker's Workshop""'. Same words, no meaning change."
B028,Forestry Studies,text-typo,JSON error,FIXED,"Each time after you use the ""Forest"" accumulation space, you can return 2 wood to that space to play 1 occupation without paying an occupation costs.","Each time after you use the ""Forest"" accumulation space, you can return 2 wood to that space to play 1 occupation without paying an occupation cost.","JSON has number-agreement typo ""an occupation costs""; compendium prints the correct singular ""an occupation cost""."
B029,Cookery Lesson,text-typo,JSON error,FIXED (partial),"Each time you use a ""Lesson"" action space and a cooking improvement on the same turn, you get 1 bonus point.","Each time you use a ""Lessons"" action space and a Cooking improvement on the same turn, you get 1 bonus point.","Compendium quotes the ""Lessons"" action space; JSON drops the s (""Lesson""), a typo (secondary: compendium ""Cooking"" vs JSON lowercase ""cooking"")."
B030,Wood Palisades,text-wording,wording only,outstanding,"Instead of a fence piece, you can place 2 wood from your supply on the fence spaces at the edge of your farmyard. These fence spaces with 2 wood are worth 1 bonus point.","Instead of a fence piece, you can place 2 wood on fence spaces at the edge of your farmyard. These fence spaces with 2 wood are worth 1 bonus point.","JSON adds ""from your supply"" and the article ""the"" before ""fence spaces""; game meaning is identical (wood is placed from supply regardless)."
B031,Pottery Yard,text-typo,COMPENDIUM error,FIXED (partial),"During the scoring, if there are at least 2 orthogonally adjacent unused spaces in your farm, you get 2 bonus points. (You still get the negative points for those unused spaces.","During scoring, if there at least 2 orthogonally adjacent unused spaces in your farmyard, you get 2 bonus points. (You still get the negative points for those unused spaces.)","Compendium drops the verb ""are"" (""if there at least"" vs JSON's correct ""if there are at least""); also JSON omits the closing "")"", adds ""the"" (During the scoring), and uses ""farm"" vs compendium ""farmyard"" — no meaning change; the dropped word makes it a typo."
B032,Kettle,text-wording,wording only,outstanding,"At any time, you can exchange 1/3/5 grain for 3/4/5 food and 0/1/2 bonus points.","At any time, you can exchange 1/3/5 grain for 3/4/5 food plus 0/1/2 bonus points.","Compendium prints ""food plus 0/1/2"" where JSON has ""food and 0/1/2""; same game meaning, different connective word."
B034,Special Food,text-wording,wording only,outstanding,"The next time you take animals from an accumulation space and accommodate all of them on your farm, you get 1 bonus point for each of these animals.","Once this game, the next time you take animals from an accumulation space and accommodate all of them on your farm, you get 1 bonus point for each such animal.","Compendium opens ""Once this game,"" (redundant with ""the next time,"" which already fires exactly once) and reads ""each such animal""; JSON omits the opener and says ""each of these animals"" — same game meaning, different phrasing."
B035,Hook Knife,text-punct,JSON error,outstanding,"Once this game, when you have 9/8/7/6/5/5 sheep on your farm in a 1-/2-3-/4-/5-/6- player game, you immediately get 2 bonus points.","Once this game, when you have 9/8/7/6/5/5 sheep on your farm in a 1-/2-/3-/4-/5-/6-player game, you immediately get 2 bonus points.","Real difference but purely punctuation/spacing: JSON drops the slash in ""2-/3-"" (renders ""2-3-"") and adds a space in ""6- player"" vs compendium ""6-player""; no letter/word or game-meaning change, so text-punct not text-typo."
B038,Future Building Site,text-wording,wording only,outstanding,"Up until all other farmyard spaces are used, you cannot use the unused spaces that are orthogonally adjacent to your house.","Until all other farmyard spaces are used, you cannot use spaces that are orthogonally adjacent to your house.","Compendium ""Until ... spaces""; JSON ""Up until ... the unused spaces"" — extra ""unused"" qualifier is mechanically redundant, so same game meaning, different wording."
B043,Chophouse,text-wording,wording only,outstanding,"Each time you use the ""Grain/Vegetable Seed"" action space, place 1 food on each of the next 3/2 round spaces. At the start of these rounds, you get the food.","Each time you use the ""Grain Seeds""/""Vegetable Seeds"" action space, place 1 food on each of the next 3/2 round spaces. At the start of these rounds, you get the food.","Compendium spells out the two action-space names in full (""Grain Seeds""/""Vegetable Seeds"") while JSON compresses to ""Grain/Vegetable Seed""; same spaces, same game meaning."
B049,Scales,text-wording,wording only,outstanding,"Each time after you place an improvement or occupation in front of you, if you then have the same number of improvements and occupations in play, you get 2 food.","Each time after you place an improvement or occupation in front of you, if you have the same number of improvements and occupations in play, you get 2 food.","JSON adds ""then"" (""if you then have""); compendium prints ""if you have"" — same game meaning, wording only."
B053,Sculpture Course,text-wording,wording only,outstanding,"At the end of each round that does not end with a harvest, you can use this card to exchange your choice of 1 wood for 2 food, or 1 stone for 4 food.","At the end of each round that does not end with a harvest, you can use this card to exchange either 1 wood for 2 food, or 1 stone for 4 food.","Compendium says ""exchange either"" where JSON says ""exchange your choice of""; same game meaning, different phrasing."
B054,Tumbrel,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"When you play this card, you immediately get 2 food. Each time after you take an unconditional ""Sow"" action, you get 1 food for each stable you have.","When you play this card, you immediately get 2 food. Each time after you take a ""Sow"" action, you get 1 food for each stable you have.","JSON adds the qualifier ""unconditional"" before ""Sow"" action, restricting which Sow actions trigger the food; the printed compendium card has no such qualifier."
B055,Maintenance Premium,text-punct,JSON error,outstanding,"Place 3 food on this card. Each time you use a wood accumulation space, you get 1 food from this card. Each time you renovate restock this card to 3 food.","Place 3 food on this card. Each time you use a wood accumulation space, you get 1 food from this card. Each time you renovate, restock this card to 3 food.","Compendium has a comma after ""renovate"" (""Each time you renovate, restock""); JSON omits it (""renovate restock""). Punctuation only; identical wording/mechanics."
B059,Food Chest,text-wording,wording only,outstanding,"If you play this card on the ""Major Improvement"" action space, you immediately get 4 food. Otherwise, you get only 2 food.","If you play this card on the ""Major Improvement"" action space, you immediately get 4 food. If you play it on another action space, you immediately get 2 food.","Compendium spells out ""If you play it on another action space, you immediately get 2 food""; JSON collapses this to ""Otherwise, you get only 2 food"" — same game meaning (any non-Major-Improvement space = 2 food), different phrasing."
B063,Tasting,text-wording,wording only,outstanding,"Each time you use a ""Lessons"" action space, before paying the occupation cost, you can exchange 1 grain for 4 food.","Each time you use a ""Lessons"" action space, before you pay the occupation cost, you can exchange 1 grain for 4 food.","Compendium ""before you pay the occupation cost"" vs JSON ""before paying the occupation cost""; identical game meaning, phrasing only."
B069,Potters Market,text-mechanical,DIFFERS (adjudicate),FIXED,"At any time, you can pay 4 clay and 2 food. If you do, place 1 vegetable on each of the next 2 round spaces. At the start of these rounds, you get the vegetable.","At any time, you can pay 3 clay and 2 food. If you do, place 1 vegetable on each of the next 2 round spaces. At the start of these rounds, you get the vegetable.","Cost differs: compendium prints ""3 clay and 2 food"", JSON says ""4 clay and 2 food"" — a real mechanical cost change."
B070,New Purchase,text-punct,JSON error,outstanding,"Before the start of each round that ends with a harvest, you can buy one of each of the following crops: 2 Food → 1 Grain; 4 Food → 1 Vegetable","Before the start of each round that ends with a harvest, you can buy one of each of the following crops: 2 food ➝ 1 grain; 4 food ➝ 1 vegetable.",Formatting only (capitalization / arrow glyph / spacing).
B071,Harvest House,text-punct,JSON error,outstanding,"When you play this card, if the number of completed harvests is equal to the number of occupations you played, you immediately get 1 food, 1 grain, and 1 vegetable.","When you play this card, if the number of completed harvests is equal to the number of occupations you played, you immediately get 1 food, 1 grain and 1 vegetable.","Oxford comma only: JSON '1 grain, and 1 vegetable' vs compendium '1 grain and 1 vegetable'; text otherwise identical."
B073,Gift Basket,text-punct,JSON error,outstanding,"When you play this card, if you have exactly 2/3/4/5 rooms, you immediately get 1 vegetable/food/grain/vegetable.","When you play this card, if you have exactly 2/3/4/5 rooms, you immediately get 1 vegetable/food/grain/ vegetable.",Formatting only (capitalization / arrow glyph / spacing).
B078,Reed Belt,text-wording,wording only,outstanding,"Place 1 reed on each of the remaining space for rounds 5, 8, 10, and 12. At the start of these rounds, you get the reed.","Place 1 reed on each remaining space for rounds 5, 8, 10, and 12. At the start of these rounds, you get the reed.","JSON has ""on each of the remaining space"", compendium ""on each remaining space""; extra ""of the"" is a wording difference, same game meaning."
B081,Handcart,text-wording,wording only,outstanding,"Before each work phase, you can take 1 building resource from at most one wood/clay/reed/stone accumulation space containing at least 6/5/4/4 building resources of the same type.","Before the start of each work phase, you can take 1 building resource from a wood/clay/reed/stone accumulation space with at least 6/5/4/4 building resources of the same type. You can only take 1 resource per round.","Same game meaning (1 resource per work phase from one qualifying space, same 6/5/4/4 thresholds), phrased differently: JSON 'from at most one ... space' vs compendium 'from a ... space. You can only take 1 resource per round.'; also 'Before each' vs 'Before the start of each'."
B082,Value Assets,text-wording,wording only,outstanding,"After each harvest, you can buy exactly one of the following goods: 1 Food → 1 Wood; 1 Food → 1 Clay; 2 Food → 1 Reed; 2 Food → 1 Stone","After each harvest, you can buy exactly one of the following building resources: 1 food ➝ 1 wood; 1 food ➝ 1 clay; 2 food ➝ 1 reed; 2 food ➝ 1 stone.","JSON descriptor ""the following goods"" vs compendium ""the following building resources""; identical exchange list, so same meaning phrased differently (casing/arrow ignored)."
B084,Acorns Basket,text-wording,wording only,outstanding,"Place 1 wild boar on each of the 2 round spaces. At the start of these rounds, you get the wild boar.","Place 1 wild boar on each of the next 2 round spaces. At the start of these rounds, you get the wild boar.","Compendium says ""each of the next 2 round spaces""; JSON omits ""next"" — clarifying word, same game meaning."
B092,Little Stick Knitter,text-punct,JSON error,FIXED,"From Round 5 on, each time you use the ""sheep Market"" accumulation space, you can also take a ""Family Growth with Room Only"" action.","From Round 5 on, each time you use the ""Sheep Market"" accumulation space, you can also take a ""Family Growth with Room Only"" action.","Compendium capitalizes the proper name ""Sheep Market""; JSON writes it lowercase as ""sheep Market"". Only capitalization differs."
B093,Confidant,text-punct,JSON error,outstanding,"Place 1 food from your supply on each of the next 2, 3, or 4 round spaces. At the start of these rounds, you get the food back and your choice of a ""sow"" or ""Build Fences"" action.","Place 1 food from your supply on each of the next 2, 3, or 4 round spaces. At the start of these rounds, you get the food back and your choice of a ""Sow"" or ""Build Fences"" action.","Compendium capitalizes the action name ""Sow""; JSON has lowercase ""sow"" — capitalization-only difference, same meaning."
B095,Master Bricklayer,text-typo,JSON error,FIXED,"Each time you build a major improvement, reduce the stone cost by the number of rooms you have built onto you initial house.","Each time you build a major improvement, reduce the stone cost by the number of rooms you have built onto your initial house.","JSON has typo ""onto you initial house"" (missing r); compendium reads ""onto your initial house""."
B098,Organic Farmer,text-wording,wording only,outstanding,"During the scoring, you get 1 bonus point for each pasture containing at least 1 animal while having unused capacity for at least three more animals.","During scoring, you get 1 bonus point for each pasture containing at least 1 animal while having unused capacity for at least three more animals.","Compendium reads ""During scoring""; JSON adds ""the"" (""During the scoring"") — same game meaning, wording only."
B100,Clutterer,text-typo,JSON error,FIXED,"During scoring, you get 1 bonus point for each card played after this on that has ""accumulation space(s)"" in its text.","During scoring, you get 1 bonus point for each card played after this one that has ""accumulation space(s)"" in its text.","JSON has typo ""after this on that"" (missing ""e"" in ""one""); compendium reads ""after this one that""."
B105,Case Builder,text-wording,wording only,outstanding,"When you play this card, you immediately get 1 good of each of the following types, If you have at least 2 of that good in your supply already, food, grain, vegetable, reed, wood.","When you play this card, you immediately get 1 good of each of the following types, if you have at least 2 of that good already: food, grain, vegetable, reed, wood.","JSON adds ""in your supply"", capitalizes ""If"", and uses a comma before the list where compendium uses a colon; same game meaning."
B106,Moral Crusader,text-wording,wording only,outstanding,"Immediately before the start of each round, if there are goods on the remaining round space that are promised to you, you get 1 food.","Immediately before the start of each round, if there are goods on remaining round spaces that are promised to you, you get 1 food.","Compendium ""remaining round spaces"" (plural, no ""the"") vs JSON ""the remaining round space"" (singular, with ""the""); same game meaning, differently phrased."
B111,Rustic,text-punct,JSON error,outstanding,"For each clay room you build, you get 2 food and 1 bonus point. (this does not apply to stone rooms and renovated wood rooms.)","For each clay room you build, you get 2 food and 1 bonus point. (This does not apply to stone rooms and renovated wood rooms).","Compendium capitalizes ""(This"" and places the period outside the paren (""rooms).""); JSON lowercases ""(this"" and puts the period inside (""rooms.)""). Only capitalization and punctuation differ."
B114,Childless,text-punct,JSON error,outstanding,"At the start of each round, if you have at least 3 rooms but only 2 people, you get 1 food and 1 crop of your choice (grain or vegetable)","At the start of each round, if you have at least 3 rooms but only 2 people, you get 1 food and 1 crop of your choice (grain or vegetable.)","Compendium closes the parenthetical with a period inside ""(grain or vegetable.)""; JSON has no period. Punctuation only; identical wording and game meaning."
B116,Shoreforester,text-punct,JSON error,outstanding,"When you play this card and each time 1 reed is placed on an empty ""Reed Bank"" accumulation space in the preparation phase, you get 1 wood.","When you play this card, and each time 1 reed is placed on an empty ""Reed Bank"" accumulation space in the preparation phase, you get 1 wood.","Compendium has a comma after ""this card,"" (""...this card, and each time...""); JSON omits it. Punctuation-only, same meaning."
B117,Informant,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"When you play this card, you immediately get 1 wood. After each work phase, if you have more stone than clay in your supply, you get 1 wood.","After each work phase, if you have more stone than clay in your supply, you get 1 wood.","Compendium Informant (B117) has only the ""after each work phase"" effect; the leading ""When you play this card... you get 1 wood"" in raw_before belongs to the prior card (Shoreforester B116). JSON adds an on-play +1 wood the compendium omits."
B119,Lumberjack,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"You immediately get 1 wood. Additionally, place 1 wood on each of the next round spaces, up to the number of fences you built. At the start of these rounds, you get the wood.","Immediately place 1 wood on each of the next round spaces, up to the number of fences you built. At the start of these rounds, you get the wood.","JSON adds an extra immediate 1-wood gain (""You immediately get 1 wood. Additionally,"") not present in the compendium, which reads ""Immediately place 1 wood on each of the next round spaces...""."
B124,Trimmer,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"In each work phase, after you enclose at least one farmyard space, you get 2 stone. (Subdividing an existing pasture does not count.)","Each time after you enclose at least one farmyard space, you get 2 stone. (Subdividing an existing pasture does not count.)","Compendium ""Each time after you enclose"" fires per enclosure event; JSON ""In each work phase"" caps the reward to once per work phase — differing trigger frequency."
B127,Seducer,text-punct,JSON error,outstanding,"When you play this card in round 5 or later, you can immediately pay 1 stone, 1 grain, 1 vegetable, and 1 sheep to take a ""Family Growth Even without Room"" action.","When you play this card in Round 5 or later, you can immediately pay 1 stone, 1 grain, 1 vegetable, and 1 sheep to take a ""Family Growth Even without Room"" action.","Capitalization only: compendium ""Round 5"" vs JSON ""round 5""; rest identical after stripping glued next-card name ""Plumber""."
B128,Plumber,text-wording,wording only,outstanding,"Each time after you use the ""Major Improvement"" action space, you can take a ""renovation"" action, paying 2 clay or 2 stone less for the renovation.","Each time after you use the ""Major Improvement"" action space, you can take a ""Renovation"" action for 2 clay or 2 stone less.","Same meaning: compendium terse ""for 2 clay or 2 stone less"" vs JSON spelled-out ""paying 2 clay or 2 stone less for the renovation"" (plus ""Renovation"" vs ""renovation"" casing)."
B130,Full Peasant,text-wording,wording only,outstanding,"Each time after you use the ""Grain Utilization"" or ""Fencing"" action space while the other is unoccupied, you can pay 1 food to use the other space with the same person.","Each time after you use the ""Grain Utilization"" or ""Fencing"" action space while the other is unoccupied, you can pay 1 food to use that other space with the same person.","Compendium reads ""use that other space""; JSON reads ""use the other space"" — one-word difference, identical game meaning."
B139,Forest Scientist,text-punct,JSON error,outstanding,"In the returning home phase of each round, if there is no wood left on the game board, you get 1 food—from round 5 on, even 2 food.","In the returning home phase of each round, if there is no wood left on the game board, you get 1 food - from round 5 on, even 2 food.",Only the dash differs: JSON em-dash without spaces ('food—from') vs compendium spaced hyphen ('food - from'); all words identical.
B143,Clay Warden,text-wording,wording only,outstanding,"Each time another player uses the ""Hollow"" accumulation space, you get 1 clay. In a 3-/4-player game, you also get 1 additional clay/food.","Each time another player uses the ""Hollow"" accumulation space, you get 1 clay. In a 3-/4-player game, you also get 1 clay/food.","JSON adds clarifying word ""additional"" (""1 additional clay/food"" vs compendium ""1 clay/food""); identical game meaning."
B144,Collier,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"Each time after you use the ""Clay Pit"" or ""Hollow"" accumulation space, you get 1 wood. On ""Clay Pit"" you also get 1 additional reed.","Each time after you use the ""Clay Pit"" accumulation space, you get 1 reed and 1 wood. With 3 or more players, you get 1 additional wood on the ""Hollow"" accumulation space.","Compendium gives reed+wood only on Clay Pit and the Hollow wood bonus is 3+ player-only (confirmed by the ""3+ player card"" note); JSON grants 1 wood on Clay Pit OR Hollow in all games, so the 2-player Hollow benefit differs."
B149,Open Air Farmer,text-wording,wording only,outstanding,"When you play this card, you remove exactly 3 stables in your supply from play to build a pasture covering 2 farmyard spaces. You only need to pay a total of 2 wood for fences","When you play this card, if you have at least 3 stables in your supply, remove 3 stables in your supply from play and build a pasture covering 2 farmyard spaces. You only need to pay a total of 2 wood for the fences.","Same game meaning phrased differently: compendium spells out precondition ""if you have at least 3 stables... remove 3... and build"" while JSON uses ""remove exactly 3 stables... to build""; JSON also drops ""the"" before ""fences"". No mechanical change."
B151,Little Peasant,text-typo,JSON error,FIXED (partial),"You immediately get 1 stone. As long as you live in a wooden house with exactly 2 rooms, actions spaces—excluding Meeting Place—are not considered occupied for you.","You immediately get 1 stone. As long as you live in a wooden house with exactly 2 rooms, action spaces—excluding Meeting Place—are not considered occupied for you.","JSON typo ""actions spaces"" for compendium's correct ""action spaces""."
B153,Housemaster,text-wording,wording only,outstanding,"During scoring, total the point values of your major improvements. The smallest value counts double. If the total is at least 5/7/9/11, you get 1/2/3/4 bonus points.","During scoring, total the values of your major improvements. The smallest value counts double. If the total is at least 5/7/9/11, you get 1/2/3/4 bonus points.","JSON ""total the point values"" vs compendium ""total the values""; same meaning (major improvement values are point values)."
B154,Sheep Keeper,text-wording,wording only,outstanding,"You can only play this card if you have less than 7 sheep. Once this game, when you have 7 sheep on your farm, you immediately get 3 bonus points and 2 food.","You can only play this card if you have less than 7 sheep. Once this game, when you have 7 sheep in your farmyard, you immediately get 3 bonus points and 2 food.","Compendium prints ""in your farmyard""; JSON prints ""on your farm"" — same game meaning, different phrasing."
B155,Art Teacher,text-punct,JSON error,FIXED,"When you play this card, you immediately get 1 wood and 1 reed. Each time you pay an occupation cost, you can use food from the ""traveling Players"" accumulation space.","When you play this card, you immediately get 1 wood and 1 reed. Each time you pay an occupation cost, you can use food from the ""Traveling Players"" accumulation space.","Capitalization only: compendium '""Traveling Players""' vs JSON '""traveling Players""'; text otherwise identical."
B156,Storehouse Keeper,text-punct,JSON error,FIXED,"Each time you use the ""resource Market"" action space, you also get your choice of 1 clay or 1 grain.","Each time you use the ""Resource Market"" action space, you also get your choice of 1 clay or 1 grain.","Capitalization only: compendium prints ""Resource Market"" (capital R, matching the action-space name), JSON has lowercase ""resource Market""."
B157,Salter,text-typo,JSON error,FIXED (partial),"At any time, you can pay 1 sheep/wild boar/cattle from you farm. If you do, place 1 food on each of the next 3/5/7 round spaces. At the start of these rounds, you get the food.","At any time, you can pay 1 sheep/wild boar/cattle from your farmyard. If you do, place 1 food on each of the next 3/5/7 round spaces. At the start of these rounds, you get the food.","JSON has ungrammatical typo ""from you farm"" (missing 'r' in ""your""); compendium prints ""from your farmyard""."
B161,Weakling,text-wording,wording only,outstanding,"Each time it is your turn in the work phase, if there are one or more accumulation spaces with 5+ goods on them and you do not use any of them, you get 1 vegetable.","Each time it is your turn in the work phase, if there are 1 or more accumulation spaces with 5+ goods on them and you do not use any of them, you get 1 vegetable.","Compendium prints numeral ""1 or more""; JSON spells out ""one or more"" — same meaning, wording difference."
B165,Game Provider,text-wording,wording only,outstanding,"Immediately before each harvest, you can discard 1/3/4 grain from different fields to get 1/2/3 wild boars.","Immediately before each harvest, you can discard 1/3/4 grain from different fields to receive 1/2/3 wild boars.","Compendium prints ""to receive"" where JSON has ""to get""; identical game meaning, purely a wording variant."
B168,Pasture Master,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"Each time you renovate, you get 2 food and 1 additional animal of the respective type in each of your pastures with stable.","Each time you renovate, you get 1 additional animal of the respective type in each of your pastures with stable.","JSON adds ""2 food and"" which the printed compendium text does not grant; compendium only gives 1 additional animal per pasture-with-stable on renovate."
C056,Feed Fence,text-punct,JSON error,outstanding,"For each new stable you build, you get 1 food-for your last one, get 3 food. Each time you build stables, you can build exactly 1 stable for 1 clay instead of wood.","For each new stable you build, you get 1 food - for your last one, get 3 food. Each time you build stables, you can build exactly 1 stable for 1 clay instead of wood.",Formatting only (capitalization / arrow glyph / spacing).
